order_id,payment_type,payment_value,payment_installments
order_0005,pix,149.80,5
order_0012,debit_card,201.95,6
order_0019,boleto,254.10,1
order_0022,debit_card,276.45,4
order_0036,credit_card,380.75,6
order_0066,credit_card,604.25,6
order_0091,credit_card,790.50,1
order_0098,voucher,842.65,2
order_0111,credit_card,939.50,3
order_0112,debit_card,946.95,4
order_0124,boleto,1036.35,4
order_0135,pix,1118.30,3
order_0172,debit_card,1393.95,4
order_0174,boleto,1408.85,6
order_0182,debit_card,1468.45,2
order_0191,credit_card,1535.50,5
order_0195,pix,1565.30,3
order_0200,pix,1602.55,2
