order_id,payment_type,payment_value,payment_installments
e481f51cbdc54678b7cc49136f2d6af7,credit_card,18.12,1
e6ce16cb79ec1d90b1da9085a6118aeb,credit_card,259.06,1
d22e9fa5731b9e30e8b27afcdc2f8563,debit_card,121.62,1
10c320f977c6a18f91b2d14be13128c6,credit_card,132.26,3
6a0a8bfbbe700284feb0845d95e0867f,credit_card,101.74,5
f7959f8385f34c4f645327465a1c9fc4,voucher,22.03,1
4b3a605942f29d490cb74bd6ace6b9f0,credit_card,38.10,1
5164933efe0cd14f31424b9badf81f19,credit_card,141.90,1
33a3edb84b9df4cb49546859b990ac6d,debit_card,67.50,1
36530871a5e80138db53bcfd8a104d90,credit_card,63.79,6
