order_id,payment_type,payment_value,payment_installments
order_0032,debit_card,350.95,2
order_0038,voucher,395.65,2
order_0039,boleto,403.10,3
order_0049,boleto,477.60,1
order_0053,voucher,507.40,5
order_0062,debit_card,574.45,2
order_0065,pix,596.80,5
order_0082,debit_card,723.45,4
order_0094,boleto,812.85,4
order_0124,boleto,1036.35,4
order_0126,credit_card,1051.25,6
order_0133,voucher,1103.40,1
order_0141,credit_card,1163.00,3
order_0158,voucher,1289.65,2
order_0159,boleto,1297.10,3
order_0170,pix,1379.05,2
order_0182,debit_card,1468.45,2
order_0194,boleto,1557.85,2
