order_id,payment_type,payment_value,payment_installments
order_0010,pix,187.05,4
order_0019,boleto,254.10,1
order_0039,boleto,403.10,3
order_0052,debit_card,499.95,4
order_0066,credit_card,604.25,6
order_0076,credit_card,678.75,4
order_0081,credit_card,716.00,3
order_0095,pix,820.30,5
order_0104,boleto,887.35,2
order_0105,pix,894.80,3
order_0115,pix,969.30,1
order_0124,boleto,1036.35,4
order_0163,voucher,1326.90,1
order_0184,boleto,1483.35,4
order_0194,boleto,1557.85,2
order_0196,credit_card,1572.75,4
order_0198,voucher,1587.65,6
order_0200,pix,forty two,2
order_0095,pix,820.30,5
