order_id,shipping_limit_date,seller_id,freight_value
403b97836b0c04a622354cf531062e5f,2018-01-12 19:09:04,c4af86330efa7a2620772227d2d670c9,77.45
5acce57f8d9dfd55fa48e212a641a69d,2017-08-08 02:56:02,85d9eb9ddc5d00ca9336a2219c97bb13,15.10
6ea2f835b4556291ffdc53fa0b3b95e8,2017-11-30 00:21:09,f5f46307a4d15880ca14fab4ad9dfc9b,17.12
,2018-08-07 23:35:13,980640c45d7a4635885491d077167e4d,22.62
66e4624ae69e7dc89bd50222b59f581f,2018-03-15 15:30:45,db4350fd57ae30082dec7acbaacc17f9,22.85
68873cf91053cd11e6b49a766db5af1a,2017-12-07 02:51:18,a673821011d0cec28146ea42f5ab767f,11.76
974c1993ab8024d3ed16229183c2308d,2017-02-24 11:45:39,f84a00e60c73a49e7e851c9bdca3a5bb,14.66
ec341c54a5ebf8ee0a67a8632aa7579b,2017-08-31 17:04:12,4c8b8048e33af2bf94f2eb547746a916,15.10
orphan-4359,2018-02-28 16:10:41,1f50f920176fa81dab994f9023523100,17.60
36530871a5e80138db53bcfd8a104d90,2017-05-17 11:45:14,f8db351d8c4c4c22c6835c19a46f01b0,26.89
36ebb4199031e72a1fa964549b88c377,2018-04-10 08:50:15,1d8dbc4f32378d715c717c1c1fc57bae,23.35
780fe22baa36991bdbb1559f5b549596,2017-04-27 19:41:06,ef506c96320abeedfb894c34db06f478,14.52
