order_id,shipping_limit_date,freight_value
f848643eec1d69395095eb3840d2051e,2018-03-23 09:09:31,8.91
dd78f560c270f1909639c11b925620ea,2018-03-16 02:30:56,12.79
b276e4f8c0fb86bd82fce576f21713e0,2018-08-02 23:45:15,99999.99
8563039e855156e48fccee4d611a3196,2018-02-22 15:15:34,28.95
434d158e96bdd6972ad6e6d73ddcfd22,2018-06-13 03:35:15,63.17
5820a1100976432c7968a52da59e9364,2018-07-31 11:44:19,18.34
10c320f977c6a18f91b2d14be13128c6,2017-05-16 21:02:45,21.27
9defaf92cff22420e4e8ef7784815a55,2018-05-23 13:30:30,12.79
8eeda294fab8a5ed70259afb59a10ff8,2018-02-19 01:35:40,12.70
62a12e4d2a742b2491d7c00d2d79bf52,2017-12-01 19:39:02,17.73
6fa204b6cf6dcfe6c9adca7dc53aa32a,2017-08-09 03:04:48,13.01
5820a1100976432c7968a52da59e9364,2018-07-31 11:44:19,18.34
