order_id,shipping_limit_date,seller_id,freight_value
order_0026,2018-01-10 15:30:00,seller_026,34.75
order_0030,2018-01-15 11:30:00,seller_030,18.50
order_0032,2018-01-12 21:30:00,seller_032,25.00
order_0033,2018-01-14 02:30:00,seller_033,28.25
order_0041,2018-01-13 18:30:00,seller_006,25.00
order_0047,2018-01-16 00:30:00,seller_012,15.25
order_0048,2018-01-17 05:30:00,seller_013,18.50
order_0049,2018-01-18 10:30:00,seller_014,21.75
order_0051,2018-01-15 20:30:00,seller_016,28.25
order_0056,2018-01-16 21:30:00,seller_021,15.25
order_0061,2018-01-17 22:30:00,seller_026,31.50
order_0084,2018-01-25 17:30:00,seller_014,18.50
order_0091,2018-01-24 04:30:00,seller_021,12.00
order_0101,2018-01-26 06:30:00,seller_031,15.25
order_0152,2018-02-06 21:30:00,seller_012,34.75
order_0164,2018-02-11 09:30:00,seller_024,15.25
order_0178,2018-02-13 07:30:00,seller_003,31.50
order_0185,2018-02-16 18:30:00,seller_010,25.00
