order_id,payment_type,payment_installments,payment_value
order_0007,debit_card,1,164.70
order_0021,credit_card,3,269.00
order_0039,boleto,3,403.10
order_0040,pix,4,410.55
order_0051,credit_card,3,492.50
order_0069,boleto,3,626.60
order_0074,boleto,2,663.85
order_0077,debit_card,5,686.20
order_0095,pix,5,820.30
order_0101,credit_card,5,865.00
order_0112,debit_card,4,946.95
order_0125,pix,5,1043.80
order_0130,pix,4,1081.05
order_0162,debit_card,6,1319.45
order_0172,debit_card,4,1393.95
order_0176,credit_card,2,1423.75
order_0181,credit_card,1,1461.00
order_0200,pix,2,1602.55
