order_id,payment_type,payment_value,payment_installments
a4591c265e18cb1dcee52889e2d8acc3,credit_card,175.26,6
948097deef559c742e7ce321e5e58919,credit_card,95.67,9
641fb0752bf5b5940c376b3a8bb9dc52,credit_card,386.33,10
688052146432ef8253587b930b01a06d,credit_card,346.09,3
210e60465099814a1d2c7635e4065153,credit_card,231.79,8
1c35ac660d7ef6691b25d20df3d6eccb,credit_card,74.03,7
90349f264a3d6a2525a34598d09dda6b,boleto,314.34,1
c3cb4c7c4b963ab08b07a5dca5baf05d,boleto,134.58,1
ee990334acb0ff9333b01afa465f3006,boleto,445.32,1
780fe22baa36991bdbb1559f5b549596,credit_card,52.51,5
