order_id,payment_type,payment_value,payment_installments
order_0004,boleto,142.35,4
order_0007,debit_card,164.70,1
order_0010,pix,187.05,4
order_0016,credit_card,231.75,4
order_0040,pix,410.55,4
order_0076,credit_card,678.75,4
order_0081,credit_card,716.00,3
order_0103,voucher,879.90,1
order_0129,boleto,1073.60,3
order_0130,pix,1081.05,4
order_0133,voucher,1103.40,1
order_0134,boleto,1110.85,2
order_0138,voucher,1140.65,6
order_0165,pix,1341.80,3
order_0174,boleto,1408.85,6
order_0185,pix,1490.80,5
order_0189,boleto,1520.60,3
order_0200,pix,1602.55,2
