order_id,payment_type,payment_installments
82566a660a982b15fb86e904c8d32918,boleto,1
f3e7c359154d965827355f39d6b1fdac,boleto,1
fbf9ac61453ac646ce8ad9783d7d0af6,telepathy,1
f70a0aff17df5a6cdd9a7196128bd354,boleto,1
948097deef559c742e7ce321e5e58919,credit_card,9
e425680f760cbc130be3e53a9773c584,credit_card,1
ee0c5c649e17808bc4a363d3a80ebf85,voucher,1
5164933efe0cd14f31424b9badf81f19,credit_card,1
abc5ec9ecaec740b498a37f19c29a8c0,credit_card,1
c3cb4c7c4b963ab08b07a5dca5baf05d,boleto,1
e69e2290db6b2d3b7593a40112e1a82a,boleto,1
3f849648ffbabb0562c7668f212e3e88,credit_card,1
6fa204b6cf6dcfe6c9adca7dc53aa32a,boleto,1
e425680f760cbc130be3e53a9773c584,credit_card,1
