order_id,payment_type,payment_value,payment_installments
order_0004,boleto,142.35,4
order_0026,credit_card,306.25,2
order_0030,pix,336.05,6
order_0034,boleto,365.85,4
order_0065,pix,596.80,5
order_0089,boleto,775.60,5
order_0107,debit_card,909.70,5
order_0115,pix,969.30,1
order_0130,pix,1081.05,4
order_0136,credit_card,1125.75,4
order_0139,boleto,1148.10,1
order_0146,credit_card,1200.25,2
order_0154,boleto,1259.85,4
order_0158,voucher,1289.65,2
order_0161,credit_card,1312.00,5
order_0175,pix,1416.30,1
order_0178,voucher,1438.65,4
order_0197,debit_card,1580.20,5
