order_id,payment_type,payment_installments,payment_value
order_0007,debit_card,1,164.70
order_0010,pix,4,187.05
order_0031,credit_card,1,343.50
order_0035,pix,5,373.30
order_0044,boleto,2,440.35
order_0054,boleto,6,514.85
order_0061,credit_card,1,567.00
order_0067,debit_card,1,611.70
order_0096,credit_card,6,827.75
order_0137,debit_card,5,1133.20
order_0167,debit_card,5,1356.70
order_0176,credit_card,2,1423.75
order_0180,pix,6,1453.55
order_0181,credit_card,1,1461.00
order_0192,debit_card,6,1542.95
order_0194,boleto,2,1557.85
order_0200,pix,2,1602.55
