order_id,payment_type,payment_value,payment_installments
order_0019,boleto,254.10,1
order_0033,voucher,358.40,3
order_0047,debit_card,462.70,5
order_0052,debit_card,499.95,4
order_0055,pix,522.30,1
order_0064,boleto,589.35,4
order_0071,credit_card,641.50,5
order_0073,voucher,656.40,1
order_0083,voucher,730.90,5
order_0107,debit_card,909.70,5
order_0108,voucher,917.15,6
order_0112,debit_card,946.95,4
order_0130,pix,1081.05,4
order_0150,pix,1230.05,6
order_0164,boleto,1334.35,2
order_0175,pix,1416.30,1
order_0181,credit_card,1461.00,1
order_0183,voucher,1475.90,3
