order_id,payment_type,payment_value,payment_installments
order_0001,credit_card,120.00,1
order_0011,credit_card,194.50,5
order_0026,credit_card,306.25,2
order_0027,debit_card,313.70,3
order_0052,debit_card,499.95,4
order_0060,pix,559.55,6
order_0065,pix,596.80,5
order_0075,pix,671.30,3
order_0111,credit_card,939.50,3
order_0120,pix,1006.55,6
order_0134,boleto,1110.85,2
order_0152,debit_card,1244.95,2
order_0156,credit_card,1274.75,6
order_0161,credit_card,1312.00,5
order_0186,credit_card,1498.25,6
order_0187,debit_card,1505.70,1
order_0188,voucher,1513.15,2
order_0190,pix,1528.05,4
