order_id,shipping_limit_date,seller_id,freight_value
order_0003,2018-01-07 20:30:00,seller_003,18.50
order_0007,2018-01-07 16:30:00,seller_007,31.50
order_0073,2018-01-22 10:30:00,seller_003,12.00
order_0075,2018-01-24 20:30:00,seller_005,18.50
order_0077,2018-01-22 06:30:00,seller_007,25.00
order_0090,2018-01-27 23:30:00,seller_020,38.00
order_0094,2018-01-27 19:30:00,seller_024,21.75
order_0101,2018-01-26 06:30:00,seller_031,15.25
order_0112,2018-01-29 13:30:00,seller_007,21.75
order_0117,2018-01-30 14:30:00,seller_012,38.00
order_0128,2018-02-02 21:30:00,seller_023,15.25
order_0129,2018-02-04 02:30:00,seller_024,18.50
order_0134,2018-02-05 03:30:00,seller_029,34.75
order_0156,2018-02-06 17:30:00,seller_016,18.50
order_0175,2018-02-14 16:30:00,seller_035,21.75
order_0178,2018-02-13 07:30:00,seller_003,31.50
order_0197,2018-02-16 06:30:00,seller_022,34.75
order_0199,2018-02-18 16:30:00,seller_024,12.00
