order_id,payment_type,payment_value,payment_installments
order_0007,debit_card,164.70,1
order_0021,credit_card,269.00,3
order_0039,boleto,403.10,3
order_0040,pix,410.55,4
order_0051,credit_card,492.50,3
order_0069,boleto,626.60,3
order_0074,boleto,663.85,2
order_0077,debit_card,686.20,5
order_0095,pix,820.30,5
order_0101,credit_card,865.00,5
order_0112,debit_card,946.95,4
order_0125,pix,1043.80,5
order_0130,pix,1081.05,4
order_0162,debit_card,1319.45,6
order_0172,debit_card,1393.95,4
order_0176,credit_card,1423.75,2
order_0181,credit_card,1461.00,1
order_0200,pix,1602.55,2
