order_id,payment_type,payment_value,payment_installments
order_0003,voucher,134.90,3
order_0007,debit_card,164.70,1
order_0073,voucher,656.40,1
order_0075,pix,671.30,3
order_0077,debit_card,686.20,5
order_0090,pix,783.05,6
order_0094,boleto,812.85,4
order_0101,credit_card,865.00,5
order_0112,debit_card,946.95,4
order_0117,debit_card,984.20,3
order_0128,voucher,1066.15,2
order_0129,boleto,1073.60,3
order_0134,boleto,1110.85,2
order_0156,credit_card,10000.00,6
order_0175,pix,1416.30,1
order_0178,voucher,1438.65,4
order_0197,debit_card,1580.20,5
order_0199,boleto,1595.10,1
