order_id,payment_type,payment_value,payment_installments
order_0003,voucher,134.90,3
order_0004,boleto,ten thousand,4
order_0031,credit_card,343.50,1
order_0049,boleto,477.60,1
order_0052,debit_card,499.95,4
order_0056,credit_card,529.75,2
order_0057,debit_card,537.20,3
order_0065,pix,596.80,5
order_0071,telepathy,641.50,5
order_0074,boleto,663.85,2
order_0085,pix,745.80,1
order_0095,pix,820.30,5
order_0147,debit_card,1207.70,3
order_0150,pix,1230.05,6
order_0156,credit_card,1274.75,6
order_0162,debit_card,1319.45,6
order_0192,debit_card,1542.95,6
order_0194,boleto,1557.85,2
