order_id,payment_type,payment_value,payment_installments
order_0016,credit_card,231.75,4
order_0025,pix,298.80,1
order_0031,credit_card,343.50,1
order_0038,voucher,395.65,2
order_0049,boleto,477.60,1
order_0063,voucher,581.90,3
order_0068,voucher,619.15,2
order_0074,boleto,663.85,2
order_0100,pix,857.55,4
order_0111,credit_card,939.50,3
order_0113,voucher,954.40,5
order_0145,pix,1192.80,1
order_0154,boleto,1259.85,4
order_0162,debit_card,1319.45,6
order_0166,credit_card,1349.25,4
order_0172,debit_card,1393.95,4
order_0181,credit_card,1461.00,1
order_0182,debit_card,1468.45,2
