order_id,payment_type,payment_value,payment_installments
203096f03d82e0dffbc41ebc2e2bcfb7,boleto,118.86,1
1e7aff52cdbb2451ace09d0f848c3699,credit_card,154.19,4
a6aeb116d2cb5013eb8a94585b71ffef,credit_card,NaN??,1
974c1993ab8024d3ed16229183c2308d,boleto,84.56,1
82bce245b1c9148f8d19a55b9ff70644,boleto,267.80,1
bd4bd0194d6d29f83b8557d4b89b572a,boleto,37.83,1
2711a938db643b3f0b62ee2c8a2784aa,boleto,59.10,1
10c320f977c6a18f91b2d14be13128c6,credit_card,132.26,3
41bb5cee06dbf170878a9ef93ac7e7f5,credit_card,23.69,2
0760a852e4e9d89eb77bf631eaaf1c84,telepathy,50.35,1
b01875821b8dcb6abc61776f0f971bce,credit_card,142.16,10
aeb4c9d05ab11d7c6c9ca24f8c43bd70,credit_card,22.79,1
