order_id,payment_type,payment_installments,payment_value
order_0004,boleto,4,142.35
order_0013,voucher,1,209.40
order_0016,credit_card,4,231.75
order_0022,debit_card,4,276.45
order_0030,pix,6,336.05
order_0041,credit_card,5,418.00
order_0047,debit_card,5,462.70
order_0057,debit_card,3,537.20
order_0096,credit_card,6,827.75
order_0097,debit_card,1,835.20
order_0122,debit_card,2,1021.45
order_0123,voucher,3,1028.90
order_0139,boleto,1,1148.10
order_0153,voucher,3,1252.40
order_0169,boleto,1,1371.60
order_0177,debit_card,3,1431.20
order_0180,pix,6,1453.55
order_0190,pix,4,1528.05
