order_id,shipping_limit_date,freight_value
a4591c265e18cb1dcee52889e2d8acc3,2017-07-13 22:10:13,27.36
e69bfb5eb88e0ed6a785585b27e16dbf,2017-08-11 12:05:32,19.77
60550084e6b4c0cb89a87df1f3e5ebd9,2018-03-01 02:10:52,26.89
1e7aff52cdbb2451ace09d0f848c3699,2017-05-25 19:05:17,34.20
b52cc4919de82b4d696a4380d10804a3,2018-06-19 02:30:26,12.03
3923e3ade70348985bd2ca389905cf19,2018-03-15 02:30:36,18.25
89165e6d4c28047da0adf13ac8b3e1b3,2018-07-24 13:50:14,8.03
1d067305b599c1e0dceb3864056ea527,2018-02-22 12:15:38,21.53
b2bd1f09c1b8a4a36940f6f6e49d5dec,2018-02-08 16:31:38,16.14
a7cd6af6e0519313887b3c3a120f20ca,2018-05-03 12:11:18,7.39
775130c792f4c6460c63162e994a1114,2017-12-15 18:04:01,15.67
43d88b0e949865904334dd5b3ca63f50,2018-03-26 17:15:42,8.29
6d7de866a140b19d09e825b2a4e944c7,2018-04-22 22:10:15,0.00
orphan-9902,2018-07-17 16:04:02,18.95
