order_id,shipping_limit_date,seller_id
53cdb2fc8bc7dce0b6741e2150273451,2018-07-30 03:24:27,289cdb325fb7e7f891c38608bf9e0962
f70a0aff17df5a6cdd9a7196128bd354,2017-08-17 02:45:24,5dceca129747e92ff8ef7a997dc4f8ca
orphan-5994,2018-02-08 12:50:30,ba5daa4041e1f15cdf34b76e3e18a450
d17dc4a904426827ca80f2ccb3a6be56,2017-05-18 20:42:45,f8db351d8c4c4c22c6835c19a46f01b0
e425680f760cbc130be3e53a9773c584,2017-09-08 08:30:17,1025f0e2d44d7041d6cf58b6550e0bfa
66e4624ae69e7dc89bd50222b59f581f,2018-03-15 15:30:45,db4350fd57ae30082dec7acbaacc17f9
ccbabeb0b02433bd0fcbac46e70339f2,2018-02-27 03:31:34,16090f2ca825584b5a147ab24aa30c86
6d25592267349b322799e2beb687871e,2018-08-30 04:10:18,6560211a19b47992c3666cc44a7e94c0
10c320f977c6a18f91b2d14be13128c6,2017-05-16 21:02:45,3b15288545f8928d3e65a8f949a28291
9defaf92cff22420e4e8ef7784815a55,2018-05-23 13:30:30,a6fe7de3d16f6149ffe280349a8535a0
d3d6788577c9592da441752e8a1dd5e3,2017-09-27 07:55:14,cc419e0650a3c5ba77189a1882b7556a
265f4e28ef8cf69f8445e2951bbe7343,2017-03-15 00:33:11,e26901d5ab434ce92fd9b5c256820a4e
