order_id,shipping_limit_date,seller_id
order_0005,2018-01-10 06:30:00,seller_005
order_0012,2018-01-08 17:30:00,seller_012
order_0019,2018-01-12 04:30:00,seller_019
order_0022,2018-01-10 19:30:00,seller_022
order_0036,2018-01-12 17:30:00,seller_001
order_0066,2018-01-18 23:30:00,seller_031
order_0091,2018-01-24 04:30:00,seller_021
order_0098,2018-01-27 15:30:00,seller_028
order_0111,2018-01-28 08:30:00,seller_006
order_0112,2018-01-29 13:30:00,seller_007
order_0124,2018-02-03 01:30:00,seller_019
order_0135,2018-02-06 08:30:00,seller_030
order_0172,2018-02-11 01:30:00,seller_032
order_0174,2018-02-13 11:30:00,seller_034
order_0182,2018-02-13 03:30:00,seller_007
order_0191,2018-02-14 00:30:00,seller_016
order_0195,2018-02-18 20:30:00,seller_020
order_0200,2018-02-19 21:30:00,seller_025
