order_id,shipping_limit_date,freight_value
85ce859fd6dc634de8d2f1e290444043,2017-11-29 00:14:22,11.85
f70a0aff17df5a6cdd9a7196128bd354,2017-08-17 02:45:24,34.19
e425680f760cbc130be3e53a9773c584,2017-09-08 08:30:17,11.85
f271576bed568e896f99eb710cd3a6f8,2018-01-11 21:51:28,82.48
bd4bd0194d6d29f83b8557d4b89b572a,2018-08-02 03:50:24,12.84
2711a938db643b3f0b62ee2c8a2784aa,2017-12-29 02:15:31,14.10
01a75ac3dd000b7628a684be97c29234,2018-01-29 10:59:10,15.10
65312c6e4ce03c0fb633a4ac541949d8,2018-08-01 10:20:47,13.60
e6190dea235662449d160357e46eaec8,2018-01-15 07:27:15,99999.99
f4471dae8c482f51aa1826cd9f5d4433,2018-07-10 18:55:15,4.39
04a59fe46fc5aa341da5378c195ed53c,2017-12-04 09:31:11,15.18
,2017-06-22 00:35:26,33.96
