order_id,payment_type,payment_value,payment_installments
order_0001,credit_card,120.00,1
order_0013,voucher,209.40,1
order_0028,voucher,321.15,4
order_0041,credit_card,418.00,5
order_0050,pix,485.05,2
order_0052,debit_card,499.95,4
order_0057,debit_card,537.20,3
order_0064,boleto,589.35,4
order_0069,boleto,626.60,3
order_0082,debit_card,723.45,4
order_0089,boleto,775.60,5
order_0106,credit_card,902.25,4
order_0131,credit_card,1088.50,5
order_0133,voucher,1103.40,1
order_0158,voucher,1289.65,2
order_0165,pix,1341.80,3
order_0196,credit_card,1572.75,4
order_0197,debit_card,1580.20,5
