order_id,payment_type,payment_value,payment_installments
order_0036,credit_card,380.75,6
order_0046,credit_card,455.25,4
order_0048,voucher,470.15,6
order_0059,boleto,552.10,5
order_0063,voucher,581.90,3
order_0083,voucher,730.90,5
order_0090,pix,783.05,6
order_0108,voucher,917.15,6
order_0111,credit_card,939.50,3
order_0123,voucher,1028.90,3
order_0140,pix,1155.55,2
order_0144,boleto,1185.35,6
order_0145,pix,1192.80,1
order_0168,voucher,1364.15,6
order_0175,pix,1416.30,1
order_0183,voucher,1475.90,3
order_0186,credit_card,1498.25,6
