order_id,shipping_limit_date,seller_id,freight_value
order_0019,2018-01-12 04:30:00,seller_019,12.00
order_0033,2018-01-14 02:30:00,seller_033,28.25
order_0047,2018-01-16 00:30:00,seller_012,15.25
order_0052,2018-01-17 01:30:00,seller_017,31.50
order_0055,2018-01-20 16:30:00,seller_020,12.00
order_0064,2018-01-21 13:30:00,seller_029,99999.99
order_0071,2018-01-20 00:30:00,seller_001,34.75
order_0073,2018-01-22 10:30:00,seller_003,12.00
order_0083,2018-01-24 12:30:00,seller_013,15.25
order_0107,2018-01-28 12:30:00,seller_002,34.75
order_0108,2018-01-29 17:30:00,seller_003,38.00
order_0112,2018-01-29 13:30:00,seller_007,21.75
order_0130,2018-02-05 07:30:00,seller_025,21.75
order_0150,2018-02-09 11:30:00,seller_010,28.25
order_0164,2018-02-11 09:30:00,seller_024,15.25
order_0175,2018-02-14 16:30:00,seller_035,21.75
order_0181,2018-02-11 22:30:00,seller_006,12.00
order_0183,2018-02-14 08:30:00,seller_008,18.50
