order_id,payment_type,payment_value,payment_installments
order_0007,debit_card,164.70,1
order_0010,pix,187.05,4
order_0031,credit_card,343.50,1
order_0035,pix,373.30,5
order_0044,boleto,440.35,2
order_0054,boleto,514.85,6
order_0058,voucher,544.65,4
order_0061,credit_card,567.00,1
order_0067,debit_card,611.70,1
order_0096,credit_card,827.75,6
order_0137,debit_card,1133.20,5
order_0167,debit_card,1356.70,5
order_0176,credit_card,1423.75,2
order_0180,pix,1453.55,6
order_0181,credit_card,1461.00,1
order_0192,debit_card,1542.95,6
order_0194,boleto,1557.85,2
order_0200,pix,1602.55,2
