order_id,shipping_limit_date,freight_value
a4591c265e18cb1dcee52889e2d8acc3,2017-07-13 22:10:13,27.36
60550084e6b4c0cb89a87df1f3e5ebd9,2018-03-01 02:10:52,26.89
f271576bed568e896f99eb710cd3a6f8,2018-01-11 21:51:28,82.48
a910f58086d58b3ae6f37aa712d377b9,2017-09-22 09:35:18,15.84
6d25592267349b322799e2beb687871e,2018-08-30 04:10:18,7.91
8447ff843b2616c50c0ced28ab1dae03,2017-12-29 02:37:45,18.79
c75acba615d2db29345327974641467d,2018-07-12 10:10:09,26.90
orphan-7006,2017-11-30 17:58:34,25.61
f2fa3795760c35b8c05fa8e2f09d5143,2018-04-09 05:10:21,8.41
e9ce52cd563d0124dced659e69eab10a,2017-07-18 02:10:59,53.01
f4471dae8c482f51aa1826cd9f5d4433,2018-07-10 18:55:15,4.39
04a59fe46fc5aa341da5378c195ed53c,2017-12-04 09:31:11,15.18
5561adcb0fd46da4cad3048fa4e7fc00,2018-07-02 15:58:17,9.45
b0928556a10706af462ca2ab2c91903b,2018-08-08 22:35:17,23.73
43d88b0e949865904334dd5b3ca63f50,2018-03-26 17:15:42,8.29
