order_id,payment_type,payment_value,payment_installments
e481f51cbdc54678b7cc49136f2d6af7,credit_card,18.12,1
a4591c265e18cb1dcee52889e2d8acc3,credit_card,175.26,6
6514b8ad8028c9f2cc2374ded245783f,credit_card,75.16,3
dcb36b511fcac050b97cd5c05de84dc3,credit_card,146.45,10
203096f03d82e0dffbc41ebc2e2bcfb7,boleto,118.86,1
5acce57f8d9dfd55fa48e212a641a69d,boleto,43.00,1
68873cf91053cd11e6b49a766db5af1a,boleto,91.66,1
a6cd683d4bd3b9b1f0aa37b27f8116d3,credit_card,609.90,6
0c6b011f8a4f87010c23995f5807d152,credit_card,66.02,6
89165e6d4c28047da0adf13ac8b3e1b3,credit_card,118.35,1
c3cb4c7c4b963ab08b07a5dca5baf05d,boleto,134.58,1
1370fae9b19ee5e01a2d609eb18b7c8a,credit_card,145.50,8
3f849648ffbabb0562c7668f212e3e88,credit_card,86.36,1
