order_id,customer_id,order_purchase_timestamp,order_status
10c320f977c6a18f91b2d14be13128c6,b673f0597cb0c4d12778f731045f361a,2017-05-09 20:48:59,delivered
8563039e855156e48fccee4d611a3196,5f16605299d698660e0606f7eae2d2f9,2018-02-17 15:59:46,delivered
e346cd9299371b18c0b28e8e29a5e376,fb9590a1e30e0ba8304ea73a31325797,2017-05-17 08:36:11,delivered
e6190dea235662449d160357e46eaec8,b80feb27fb4955a21bca55fdb039af17,2018-01-09 06:37:43,delivered
5820a1100976432c7968a52da59e9364,2b56e94c2f66f2d97cfa63356f69cee8,2018-07-29 11:24:17,delivered
7c18eddfcd24680d80a502346221614e,b7ee9b824b4a83b389379ac70585bf3b,2018-07-13 15:45:51,delivered
686541986ecfb7d9296eb67719973bf0,74805bc388861fa350ed2fade8444e0b,2018-02-10 13:26:59,delivered
e4de6d53ecff736bc68804b0b6e9f635,9f6618c17568ac301465fe7ad056c674,2017-10-16 14:56:50,delivered
01a75ac3dd000b7628a684be97c29234,57ee2ef64f17a5f9a4bf30489b06326c,2018-01-23 10:32:39,delivered
b01875821b8dcb6abc61776f0f971bce,818596f5b68adfe2c11498ebb6d39e02,2017-11-24 21:55:22,delivered
203096f03d82e0dffbc41ebc2e2bcfb7,d2b091571da224a1b36412c18bc3bbfe,2017-09-18 14:31:30,delivered
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,2017-07-29 11:55:02,delivered
b16cec67cb3f5a4bb31abe8988b43d19,62ffae18a7ca4b2e681c6296180ae346,2018-03-26 09:14:26,delivered
634e8f4c0f6744a626f77f39770ac6aa,05e996469a2bf9559c7122b87e156724,2017-08-09 18:32:47,delivered
