order_id,payment_type,payment_value,payment_installments
order_0004,boleto,142.35,4
order_0013,voucher,209.40,1
order_0016,credit_card,231.75,4
order_0022,debit_card,276.45,4
order_0030,pix,336.05,6
order_0041,credit_card,418.00,5
order_0047,debit_card,462.70,5
order_0057,debit_card,537.20,3
order_0096,credit_card,827.75,6
order_0097,debit_card,835.20,1
order_0122,debit_card,1021.45,2
order_0123,voucher,1028.90,3
order_0139,boleto,1148.10,1
order_0153,voucher,1252.40,3
order_0169,boleto,1371.60,1
order_0177,debit_card,1431.20,3
order_0180,pix,1453.55,6
order_0190,pix,1528.05,4
