order_id,shipping_limit_date,seller_id,freight_value
order_0036,2018-01-12 17:30:00,seller_001,38.00
order_0046,2018-01-14 19:30:00,seller_011,12.00
order_0048,2018-01-17 05:30:00,seller_013,18.50
order_0059,2018-01-20 12:30:00,seller_024,25.00
order_0063,2018-01-20 08:30:00,seller_028,38.00
order_0083,2018-01-24 12:30:00,seller_013,15.25
order_0090,2018-01-27 23:30:00,seller_020,38.00
order_0108,2018-01-29 17:30:00,seller_003,38.00
order_0111,2018-01-28 08:30:00,seller_006,18.50
order_0123,2018-02-01 20:30:00,seller_018,28.25
order_0140,2018-02-07 09:30:00,seller_035,25.00
order_0144,2018-02-07 05:30:00,seller_004,38.00
order_0145,2018-02-08 10:30:00,seller_005,12.00
order_0168,2018-02-11 05:30:00,seller_028,28.25
order_0175,2018-02-14 16:30:00,seller_035,21.75
order_0183,2018-02-14 08:30:00,seller_008,18.50
order_0185,2018-02-16 18:30:00,seller_010,99999.99
order_0186,2018-02-12 23:30:00,seller_011,28.25
order_0186,2018-02-12 23:30:00,seller_011,28.25
