order_id,payment_type,payment_value,payment_installments
a4591c265e18cb1dcee52889e2d8acc3,credit_card,175.26,6
5acce57f8d9dfd55fa48e212a641a69d,telepathy,43.00,1
68873cf91053cd11e6b49a766db5af1a,boleto,ten thousand,1
bd4bd0194d6d29f83b8557d4b89b572a,boleto,37.83,1
e3447938231fb6ba2fee0231b51eca59,credit_card,172.14,2
orphan-5975,credit_card,38.47,3
265f4e28ef8cf69f8445e2951bbe7343,credit_card,64.74,1
36530871a5e80138db53bcfd8a104d90,credit_card,63.79,6
36ebb4199031e72a1fa964549b88c377,voucher,133.25,1
ee990334acb0ff9333b01afa465f3006,boleto,445.32,1
ba4ddff2b9082f079de9a84d7a5605fd,credit_card,65.47,1
