order_id,payment_type,payment_installments
116f0b09343b49556bbad5f35bee0cdf,credit_card,4
1790eea0b567cf50911c057cf20f90f9,credit_card,4
orphan-3527,credit_card,7
36ebb4199031e72a1fa964549b88c377,voucher,1
4b3a605942f29d490cb74bd6ace6b9f0,credit_card,1
556bbf53c2c22fbb9ef31a414dd444a6,credit_card,6
5acce57f8d9dfd55fa48e212a641a69d,boleto,1
60550084e6b4c0cb89a87df1f3e5ebd9,boleto,1
62a12e4d2a742b2491d7c00d2d79bf52,credit_card,10
686541986ecfb7d9296eb67719973bf0,credit_card,1
82566a660a982b15fb86e904c8d32918,boleto,1
8447ff843b2616c50c0ced28ab1dae03,boleto,1
95266dbfb7e20354baba07964dac78d5,credit_card,3
abc5ec9ecaec740b498a37f19c29a8c0,credit_card,1
b01875821b8dcb6abc61776f0f971bce,credit_card,10
ba4ddff2b9082f079de9a84d7a5605fd,credit_card,1
d22e9fa5731b9e30e8b27afcdc2f8563,debit_card,1
f4471dae8c482f51aa1826cd9f5d4433,credit_card,8
