order_id,shipping_limit_date,seller_id,freight_value
e481f51cbdc54678b7cc49136f2d6af7,2017-10-06 11:07:15,3504c0cb71d7fa48d967e0e4c94d59d9,8.72
53cdb2fc8bc7dce0b6741e2150273451,2018-07-30 03:24:27,289cdb325fb7e7f891c38608bf9e0962,22.76
47770eb9100c2d0c44946d9cf07ec65d,2018-08-13 08:55:23,4869f7a5dfa277a7dca6462dcf3b52b2,19.22
949d5b44dbf5de918fe9c16f97b45f8a,2017-11-23 19:45:59,66922902710d126a0e7d26b0e3805106,27.20
ad21c59c0840e6cb83a9ceb5573f8159,2018-02-19 20:31:37,2c9e548be18521d1c43cde1c582c6de8,8.72
a4591c265e18cb1dcee52889e2d8acc3,2017-07-13 22:10:13,8581055ce74af1daba164fdbd55a40de,27.36
136cce7faa42fdb2cefd53fdc79a6098,2017-04-19 13:25:17,dc8798cbf453b7e0f98745e396cc5616,16.05
6514b8ad8028c9f2cc2374ded245783f,2017-05-22 13:22:11,16090f2ca825584b5a147ab24aa30c86,15.17
76c6e866289321a7c93b82b54852dc33,2017-01-27 18:29:09,63b9ae557efed31d1f7687917d248a8d,16.05
e69bfb5eb88e0ed6a785585b27e16dbf,2017-08-11 12:05:32,7c67e1448b00f6e969d365cea6b010ab,19.77
e6ce16cb79ec1d90b1da9085a6118aeb,2017-05-22 19:50:18,001cca7ae9ae17fb1caed9dfb1094831,30.53
34513ce0c4fab462a55830c0989c7edb,2017-07-19 20:10:08,87142160b41353c4e5fca2360caf6f92,16.13
82566a660a982b15fb86e904c8d32918,2018-06-18 03:13:12,094ced053e257ae8cae57205592d6712,18.23
5ff96c15d0b717ac6ad1f3d77225a350,2018-07-27 17:55:14,1900267e848ceeba8fa32d80c1a5f5a8,12.80
432aaf21d85167c2c86ec9448c4e42cc,2018-03-07 15:10:47,0bae85eb84b9fb3bd773911e89288d54,16.11
dcb36b511fcac050b97cd5c05de84dc3,2018-06-18 18:59:02,89a51f50b8095ea78d5768f34c13a76f,14.05
403b97836b0c04a622354cf531062e5f,2018-01-12 19:09:04,c4af86330efa7a2620772227d2d670c9,77.45
116f0b09343b49556bbad5f35bee0cdf,2018-01-02 23:50:22,ea8482cd71df3c1969d7b9473ff13abc,15.10
85ce859fd6dc634de8d2f1e290444043,2017-11-29 00:14:22,d2374cbcbb3ca4ab1086534108cc3ab7,11.85
83018ec114eee8641c97e08f7b4e926f,2017-11-01 16:07:35,70a12e78e608ac31179aea7f8422044b,16.97
203096f03d82e0dffbc41ebc2e2bcfb7,2017-09-25 04:04:09,633ecdf879b94b5337cca303328e4a25,8.96
f848643eec1d69395095eb3840d2051e,2018-03-23 09:09:31,cc419e0650a3c5ba77189a1882b7556a,8.91
2807d0e504d6d4894d41672727bc139f,2018-02-08 20:50:22,8b321bb669392f5163d04c59e235e066,7.78
95266dbfb7e20354baba07964dac78d5,2018-01-26 08:07:31,855668e0971d4dfd7bef1b6a4133b41b,57.58
f3e7c359154d965827355f39d6b1fdac,2018-08-14 03:24:51,55c26bcb609f480eb7868594245febb5,14.21
fbf9ac61453ac646ce8ad9783d7d0af6,2018-02-28 02:30:44,c0563dd588b775f2e37747ef6ad6c92c,15.53
acce194856392f074dbf9dada14d8d82,2018-06-13 00:35:10,977f9f63dd360c2a32ece2f93ad6d306,48.64
dd78f560c270f1909639c11b925620ea,2018-03-16 02:30:56,d3f39f05462b79a4562d35893a28f159,12.79
