order_id,payment_type,payment_installments,payment_value
order_0004,boleto,4,142.35
order_0026,credit_card,2,306.25
order_0030,pix,6,336.05
order_0034,boleto,4,365.85
order_0065,pix,5,596.80
order_0089,boleto,5,775.60
order_0107,debit_card,5,909.70
order_0115,pix,1,969.30
order_0130,pix,4,1081.05
order_0136,credit_card,4,1125.75
order_0139,boleto,1,1148.10
order_0146,credit_card,2,1200.25
order_0154,boleto,4,1259.85
order_0158,voucher,2,1289.65
order_0161,credit_card,5,1312.00
order_0175,pix,1,1416.30
order_0178,voucher,4,1438.65
order_0197,debit_card,5,1580.20
