order_id,shipping_limit_date,seller_id,freight_value
order_0004,2018-01-09 01:30:00,seller_004,21.75
order_0026,2018-01-10 15:30:00,seller_026,34.75
order_0030,2018-01-15 11:30:00,seller_030,18.50
order_0034,2018-01-15 07:30:00,seller_034,31.50
order_0065,2018-01-22 18:30:00,seller_030,15.25
order_0089,2018-01-26 18:30:00,seller_019,34.75
order_0107,2018-01-28 12:30:00,seller_002,34.75
order_0115,2018-02-02 04:30:00,seller_010,31.50
order_0130,2018-02-05 07:30:00,seller_025,21.75
order_0136,2018-02-02 13:30:00,seller_031,12.00
order_0139,2018-02-06 04:30:00,seller_034,21.75
order_0146,2018-02-04 15:30:00,seller_006,15.25
order_0154,2018-02-09 07:30:00,seller_014,12.00
order_0158,2018-02-09 03:30:00,seller_018,89.90
order_0161,2018-02-07 18:30:00,seller_021,34.75
order_0175,2018-02-14 16:30:00,seller_035,21.75
order_0178,2018-02-13 07:30:00,seller_003,31.50
order_0197,2018-02-16 06:30:00,seller_022,34.75
